"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000047557",1351.24064657981,-1.02309565688902,0.120004850269053,-8.52545255125294,1.5221352656379e-17,5.75946991464701e-15
"ENSMUSG00000006014",640.233259138678,1.34282713256864,0.160243653164621,8.3799083835734,5.2968917309573e-17,1.95763263693892e-14
"ENSMUSG00000027669",911.557690523849,-1.01468651073187,0.123952420185125,-8.18609680405124,2.69834714302628e-16,9.3222027819508e-14
"ENSMUSG00000120773",647.240432017188,-1.26986208800082,0.158336059503445,-8.02004351998666,1.05707706476066e-15,3.35981374263528e-13
"ENSMUSG00000097023",1404.18701485288,1.01225582211871,0.127812712595598,7.91983677962856,2.37822563403079e-15,6.99902995852172e-13
"ENSMUSG00000025533",645.32409764442,1.11588198546432,0.142392193608477,7.83667950598867,4.62616831231326e-15,1.26757011757383e-12
"ENSMUSG00000074340",535.640788615449,1.20899686274125,0.154557617030924,7.82230527337489,5.18646462978366e-15,1.39700501519529e-12
"ENSMUSG00000015852",188.128821391445,-1.80386261808867,0.239448502109168,-7.5334053134576,4.94338628102834e-14,1.17254171310601e-11
"ENSMUSG00000018566",372.006033540611,1.26725719263255,0.171342245278766,7.39605805077892,1.40286696717637e-13,3.23106693367637e-11
"ENSMUSG00000045838",541.850212025108,1.30748882834597,0.177197859708375,7.37869424889094,1.59849445380949e-13,3.57792589576626e-11
"ENSMUSG00000025727",674.771674569163,1.33385713245169,0.18186318123462,7.33439898827514,2.22718671682352e-13,4.84855497311771e-11
"ENSMUSG00000027274",667.634053063135,-1.16734664778349,0.159990804546669,-7.29633588062233,2.95710158511401e-13,6.18345505139892e-11
"ENSMUSG00000097440",502.718825137231,-1.23510987382874,0.170997589276574,-7.22296658715498,5.0865515546282e-13,9.73921413327125e-11
"ENSMUSG00000047945",946.358798349667,-1.25172847826623,0.174825167664123,-7.15988718896054,8.07434786240544e-13,1.50961807328644e-10
"ENSMUSG00000036151",118.485579699316,-2.45688994161562,0.347454181398695,-7.07111922419607,1.53689019916896e-12,2.68398451046078e-10
"ENSMUSG00000035929",176.934719186629,1.56583652180395,0.229993975814181,6.80816319758319,9.88526925120392e-12,1.57096698940133e-09
"ENSMUSG00000110016",159.767088288365,1.68239479160939,0.247444630978435,6.79907575669325,1.05292442714582e-11,1.6567400986338e-09
"ENSMUSG00000132973",295.723639103866,-1.39548471016607,0.205704879740326,-6.78391641427114,1.16961014737869e-11,1.80460625846039e-09
"ENSMUSG00000027849",557.724636018431,1.1691678695798,0.173213203127227,6.74987730999372,1.47970226936328e-11,2.26109889083859e-09
"ENSMUSG00000060794",148.706010193844,1.83716782551604,0.272300144899911,6.74684850495149,1.51090884705098e-11,2.28679651403182e-09
"ENSMUSG00000030048",67.7558497049592,-2.75109612269814,0.417224116477699,-6.59380897231809,4.28683233048453e-11,6.13750805369912e-09
"ENSMUSG00000034164",349.786632275199,-1.15572890805037,0.175893166442105,-6.5706299535564,5.01028342493438e-11,6.98451089377695e-09
"ENSMUSG00000024136",261.624165431635,-1.43965324762087,0.224115162662411,-6.42372086974521,1.32982956973857e-10,1.67727393034011e-08
"ENSMUSG00000116180",208.81553466655,1.46076441519859,0.228134619275869,6.4030808644267,1.52272489238965e-10,1.87590263487258e-08
"ENSMUSG00000054072",134.281664920379,1.8091654005672,0.282911404946536,6.39481254178881,1.60744437318829e-10,1.96503892143911e-08
"ENSMUSG00000043924",172.972310138666,1.51966665650316,0.238657930570115,6.36755146947319,1.92069607298863e-10,2.32482334772382e-08
"ENSMUSG00000107451",208.026040882574,1.34414265609881,0.213429544187242,6.29782845302613,3.01844288586814e-10,3.50139374760704e-08
"ENSMUSG00000005107",113.914022355015,1.7867811194028,0.285329356596712,6.26217063927374,3.79655153925208e-10,4.37208674360826e-08
"ENSMUSG00000044177",246.606409369713,1.63302787427221,0.264487896742434,6.17430095813608,6.64568441908816e-10,7.18457257062238e-08
"ENSMUSG00000059456",372.538434567589,1.41522124399449,0.230570336985551,6.13791549466822,8.36113160540579e-10,8.6846472858241e-08
"ENSMUSG00000029700",135.68803706679,-1.61141799363765,0.264150527995047,-6.10037771216519,1.05818112739025e-09,1.07798810746704e-07
"ENSMUSG00000050121",454.014543622104,-1.27060993500849,0.209967116073464,-6.05147110066473,1.43529035980993e-09,1.42560214988121e-07
"ENSMUSG00000049721",282.968107428768,-1.20698115931555,0.200528457963824,-6.01900184927013,1.75495865262976e-09,1.71103085322651e-07
"ENSMUSG00000074252",130.358682388544,1.58730550402492,0.265508779157165,5.97835412095861,2.25403331622322e-09,2.10913288413917e-07
"ENSMUSG00000104674",105.918178964425,1.97451743746134,0.331483907725384,5.95660118468592,2.57537685050894e-09,2.35217752346484e-07
"ENSMUSG00000002910",751.149756805358,1.0044296260342,0.17154637129833,5.855149359513,4.76581513783997e-09,4.18443835196424e-07
"ENSMUSG00000005057",226.30655396516,1.18976002531275,0.204077788696449,5.82993393309665,5.54493247331696e-09,4.8153042003253e-07
"ENSMUSG00000104494",225.235816481208,-1.21116727258366,0.210489191782508,-5.75405921000982,8.7125618157726e-09,7.17409494177503e-07
"ENSMUSG00000022899",1274.37784435353,1.69866199939404,0.296139720580232,5.73601540538305,9.69298488035949e-09,7.77984422821581e-07
"ENSMUSG00000113689",139.355200613417,-1.55194567857583,0.2712573890717,-5.72130286989386,1.05710261158217e-08,8.39973735163196e-07
"ENSMUSG00000034684",425.191869768981,1.01813435464281,0.178335021721071,5.70911055392838,1.13568106531709e-08,8.97922561692498e-07
"ENSMUSG00000046215",79.2736740631361,2.05455707369206,0.361156928307291,5.68882087717818,1.2791956082912e-08,9.96518461125672e-07
"ENSMUSG00000051985",96.7476387810537,1.77474452906763,0.313671603237769,5.65797002581183,1.53173877886172e-08,1.17030734008031e-06
"ENSMUSG00000129437",421.579183692146,1.05687845848804,0.186892809132032,5.65499798197908,1.55848103740583e-08,1.18504213619394e-06
"ENSMUSG00000089817",133.297614681696,-1.70968039987546,0.304811226298675,-5.60898107538923,2.03521274766637e-08,1.4904885246965e-06
"ENSMUSG00000049107",153.343699365277,-1.58257993563985,0.284172749822762,-5.56907703721381,2.56092247478333e-08,1.81688303434182e-06
"ENSMUSG00000048368",214.388879830853,1.14877043967023,0.208550873491659,5.50834633505467,3.62220233299303e-08,2.42886242514453e-06
"ENSMUSG00000127251",405.272677733669,1.11998912022639,0.204684237561209,5.47178978494362,4.45513109588783e-08,2.913619068965e-06
"ENSMUSG00000075020",362.008983514881,-1.04679243689208,0.191728007393214,-5.45977841800241,4.76729191027078e-08,3.0768240374646e-06
"ENSMUSG00000046879",314.090042897009,1.19942004157993,0.220105662074636,5.44929208215107,5.05707039573394e-08,3.22758886461863e-06
"ENSMUSG00000134258",97.5112703255854,1.97313462575735,0.362831300377644,5.43815989332692,5.38336534719594e-08,3.39131005561296e-06
"ENSMUSG00000022639",199.451363835631,-1.18538175400757,0.218972258592011,-5.41338780368599,6.18433502817119e-08,3.809358615027e-06
"ENSMUSG00000066245",214.25415251772,1.189899390509,0.220832242532918,5.38825027025491,7.11469340610393e-08,4.31809740842944e-06
"ENSMUSG00000121724",281.360428747545,-1.03196022112288,0.192154023956404,-5.37048457209,7.85253515102484e-08,4.71458811452518e-06
"ENSMUSG00000106858",80.471130173589,1.80391949206125,0.336588787608394,5.35941647040253,8.34911852803946e-08,4.95090267341803e-06
"ENSMUSG00000121184",212.184941023345,-1.32468383009057,0.247388424243344,-5.35467184506395,8.5711827852691e-08,5.04493469716654e-06
"ENSMUSG00000000791",117.693110700554,1.51421911280743,0.288448320938108,5.2495334619484,1.52484900225101e-07,8.47304207824231e-06
"ENSMUSG00000022769",260.850201992616,-1.12757296837253,0.215691199030916,-5.22771894930637,1.71614113535201e-07,9.43699478304987e-06
"ENSMUSG00000111110",97.5725281108459,1.65792692265152,0.319064887576421,5.1962061236037,2.03396728005357e-07,1.09202054103416e-05
