"","SRR5364316","SRR5364317","SRR5364318","SRR5364321","SRR5364323","SRR5364330"
"ENSMUSG00000040875",587.285679434938,577.516515041565,570.081868292214,772.273460161961,517.25849728833,682.403445008492
"ENSMUSG00000040877",162.632957381983,165.156936958381,164.191736663768,171.730583018705,169.480530361517,178.056425882678
"ENSMUSG00000040883",425.656629197288,473.094709738847,526.22941688512,370.197663992418,422.231841536496,410.494617305879
"ENSMUSG00000040888",503.96138645528,514.650326134826,572.121517194869,483.31361687899,509.421247329415,514.872522133656
"ENSMUSG00000040896",5439.16890799742,5153.96196172703,4991.02086479802,6111.34643640817,5237.24228504434,5475.89293983035
"ENSMUSG00000040901",4.01562857733291,3.19658587661383,7.13877115929427,6.1699610665403,4.8982812243213,8.77125250653588
"ENSMUSG00000040907",64696.7959165548,62628.5760232437,64795.5663395601,67837.6935997662,66690.0988691345,70843.652244789
"ENSMUSG00000040913",359.398757671295,301.544601027238,332.462771132847,338.319531815293,385.004904231654,342.078847754899
"ENSMUSG00000040918",882.434379868907,788.491182898078,897.445517168422,915.210891536811,847.402651807585,888.527878912085
"ENSMUSG00000040919",9.03516429899904,10.6552862553794,10.1982445132775,12.3399221330806,7.83724995891408,17.5425050130718
"ENSMUSG00000040928",1961.63456002713,1911.55835421507,1892.79418166431,2470.04108030497,2050.4205205009,2304.20803346698
"ENSMUSG00000040929",1894.3727813568,1803.93996303574,1597.04509077926,1776.94878716361,1974.98698964635,1539.35481489705
"ENSMUSG00000040936",88.343828701324,74.587003787656,104.022094035431,93.5777428425279,96.0063119966975,110.517781582352
"ENSMUSG00000040938",76.2969429693253,89.5044045451872,73.4273604955982,104.889338131185,72.4945621199553,96.4837775718947
"ENSMUSG00000040940",1767.88048117081,2038.35626065408,2112.05643869978,2771.34084572102,2237.53486326997,2227.89813666011
"ENSMUSG00000040943",1411.49344493252,1466.16738874021,1338.00968014201,2152.28808537814,1516.50786704988,1780.56425882678
"ENSMUSG00000040945",2300.95517481176,2287.68995902996,2443.4993853813,2074.13524520196,2237.53486326997,2233.16088816403
