"","SRR5364316","SRR5364317","SRR5364318","SRR5364321","SRR5364323","SRR5364330"
"ENSMUSG00000049470",13.7506181142242,13.6813787370952,13.6159162945559,13.5297610731463,13.5388749873567,13.3935039034178
"ENSMUSG00000049477",9.10348745723197,9.10210337203797,9.1001793312254,9.00571284642194,8.98132962582511,9.04734522052531
"ENSMUSG00000049482",9.98152269285467,10.0575277921575,10.1535588692924,10.1470424299253,10.1343199030086,10.145096656588
"ENSMUSG00000049488",10.2246650404519,10.097717545946,10.2724913993366,10.0862663568461,10.1357796929368,10.1082182561998
"ENSMUSG00000049489",9.86805168274293,9.82888143533348,9.88643719518048,9.76239051002348,9.80339848173847,9.89165486902172
"ENSMUSG00000049493",10.3148263091755,10.325633846423,10.56706365363,10.2984607081208,10.3764691909478,10.2814426431748
"ENSMUSG00000049502",9.76348267220692,9.74347766030922,9.80365720302341,9.76239051002348,9.79524972558932,9.72364434223377
"ENSMUSG00000049504",11.1868454031296,11.1609300644681,11.0324675158609,11.1589993653001,11.0990478099791,11.0587806340664
"ENSMUSG00000049511",10.4496245442659,10.4550462894014,10.3428721216598,10.2511288741914,10.4090745356449,10.2535812798323
"ENSMUSG00000049515",8.85276027026842,8.91716499505478,8.89974687065147,9.03835336939779,8.9319437923469,8.97521255192525
"ENSMUSG00000049516",11.2501885261291,11.091071314024,11.2319882575048,11.049231705819,11.0610643186523,11.0129576061711
"ENSMUSG00000049517",11.7880934492169,11.7186311316541,12.018292965996,11.7440062520618,11.7950670512511,11.8751222265526
"ENSMUSG00000049521",11.3781843214748,11.2516019055397,11.2376541601405,11.1589993653001,11.1288091215628,11.1220512323784
"ENSMUSG00000049526",9.0420316577362,9.059588733068,9.1190222421158,9.08187602007877,9.14550974040684,9.1621895817217
"ENSMUSG00000049532",12.1310973218757,12.0693960214022,12.2610603596199,12.190621475534,12.1365227851294,12.2290217961944
"ENSMUSG00000049536",10.8440125785589,10.8254375685433,11.1264067199409,10.7169900619554,10.8044775776845,10.8391408179366
"ENSMUSG00000049537",9.06373562149321,9.15231887008034,9.02118561896469,9.074991449851,9.05947742366274,9.13266480774543
"ENSMUSG00000049538",9.92641161147289,10.0104048787396,9.95730627521207,10.2621214230197,9.90700875146366,10.0838284116454
