"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000086166",32.0864655799544,1.60385014100831,0.355685103786641,4.50918557997971,6.50769644478612e-06,0.000143938536950839,"Upregulated"
"ENSMUSG00000028860",32.6607966099018,-1.65349593143368,0.368007398459347,-4.49310513417937,7.01921094470193e-06,0.000153645150544226,"Downregulated"
"ENSMUSG00000115756",36.3350734737351,-1.63494861504433,0.364356020109054,-4.48722821858408,7.21557698207638e-06,0.000157202820504438,"Downregulated"
"ENSMUSG00000040140",74.9062866352378,1.06761563527777,0.238650286847767,4.47355689104532,7.69290779490057e-06,0.000166495941988918,"Upregulated"
"ENSMUSG00000033688",31.2215150365378,1.77258944655667,0.397865256139639,4.45525066389448,8.37952316250694e-06,0.000178794164753995,"Upregulated"
"ENSMUSG00000099784",27.830542256846,1.67861136129238,0.377349020294127,4.44843174624908,8.64995264290482e-06,0.000183819289010988,"Upregulated"
"ENSMUSG00000002831",470.583799069769,2.01173622166063,0.452620457581346,4.44464271988651,8.80380491064364e-06,0.000186529513863286,"Upregulated"
"ENSMUSG00000074151",56.7144682005719,1.24937246568634,0.281663819627511,4.4356867251839,9.17792374171166e-06,0.000193679837842808,"Upregulated"
"ENSMUSG00000111696",23.3232437038371,-1.99619895851806,0.450618023524728,-4.42991370585629,9.42708030119765e-06,0.000198739394784471,"Downregulated"
"ENSMUSG00000107620",72.6521219156003,-1.18570811769058,0.267802312063329,-4.42754996607417,9.5309498443973e-06,0.000200329954731393,"Downregulated"
"ENSMUSG00000124731",29.8110487941477,1.66946309101038,0.377276685932821,4.42503646066178,9.64259958462e-06,0.000202074101305044,"Upregulated"
"ENSMUSG00000026774",24.1148024684663,1.81699454290065,0.410990295331658,4.42101568708425,9.82380407974838e-06,0.000204856348388836,"Upregulated"
"ENSMUSG00000136293",56.6191125233684,-1.46366175523733,0.332387055720579,-4.4034860264467,1.06525148273737e-05,0.000218899345019259,"Downregulated"
"ENSMUSG00000120777",105.59589168866,1.05124809137688,0.239176023952774,4.39529043924759,1.10624741837973e-05,0.000225787660826634,"Upregulated"
"ENSMUSG00000109401",74.7079978047999,1.04851794010139,0.23865620681436,4.39342413967461,1.11579135847757e-05,0.000227078039220484,"Upregulated"
"ENSMUSG00000003665",57.0878194493813,1.19213825958897,0.271567625683609,4.389839387475,1.13434411690523e-05,0.000230189120460279,"Upregulated"
"ENSMUSG00000040809",60.5665323070609,3.10912047980101,0.708921186821958,4.38570681423554,1.15609753679909e-05,0.000234378546650208,"Upregulated"
"ENSMUSG00000022504",68.5944280192614,-1.13334555885914,0.259847601665054,-4.36157790796175,1.29127799829656e-05,0.000256617230018617,"Downregulated"
"ENSMUSG00000091971",149.312054856116,-1.11433357578667,0.255511142900134,-4.36119365730441,1.29354811459931e-05,0.000256826994208473,"Downregulated"
"ENSMUSG00000120913",70.5506405518569,1.01884916650159,0.233991897756268,4.35420703140262,1.33549450109891e-05,0.000263423798747541,"Upregulated"
"ENSMUSG00000015467",55.4369275514253,-1.31285910034744,0.303691359724523,-4.32300445273888,1.53918625902667e-05,0.000297496283794506,"Downregulated"
"ENSMUSG00000056987",23.1795158945382,-1.98706627842217,0.461125939977176,-4.30916178456697,1.63874460172361e-05,0.000313019463445761,"Downregulated"
"ENSMUSG00000032988",88.9656344838423,1.02825936367397,0.238642639013899,4.3087830738164,1.64155276312362e-05,0.000313272862601525,"Upregulated"
