"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000110627",8.96330938190137,-1.0400313278739,0.759363550925017,-1.36960922947511,0.170808916987832,NA,"Not significant"
"ENSMUSG00000110629",5.34946895031826,0.0609509888466774,1.0033006391562,0.0607504734552331,0.951557933876198,NA,"Not significant"
"ENSMUSG00000110630",23.2006136090578,-0.0436051445343947,0.453932551732861,-0.0960608450923704,0.92347224853665,NA,"Not significant"
"ENSMUSG00000110633",16.5687595806329,-0.196288667634833,0.541928555419216,-0.362203957831658,0.717199622158605,NA,"Not significant"
"ENSMUSG00000110635",18.2466877799221,-0.654371761443178,0.545805323127376,-1.19891055238108,0.230562728125067,NA,"Not significant"
"ENSMUSG00000110636",2.05963117440619,-0.276982868979781,1.5675439033329,-0.176698635611329,0.859745112636907,NA,"Not significant"
"ENSMUSG00000110637",12.0145551475662,0.480192478024767,0.646025015039731,0.743303226416449,0.457298118655933,NA,"Not significant"
"ENSMUSG00000110638",5.09351269497075,1.78668074872219,1.04103992186866,1.71624614118074,0.0861170013518427,NA,"Not significant"
"ENSMUSG00000110644",35.3110576912084,-0.269164880659911,0.366809797310495,-0.733799594867609,0.463070887518186,NA,"Not significant"
"ENSMUSG00000110652",28.0714004671306,-0.116895525772764,0.393911418734734,-0.296755870008133,0.766652899131524,NA,"Not significant"
"ENSMUSG00000110653",1.82581376074107,1.33698927193447,1.8938382198864,0.705968048323932,0.480208007759715,NA,"Not significant"
"ENSMUSG00000110657",4.15195167415265,-0.254814613938105,0.980207519322825,-0.25995986453373,0.794894732921714,NA,"Not significant"
"ENSMUSG00000110661",3.85727714316458,0.282242311606133,1.08788037130144,0.259442415776363,0.795293906676004,NA,"Not significant"
"ENSMUSG00000110672",8.51407666648591,-0.447871467339094,0.734855985533561,-0.609468353195635,0.542214043114693,NA,"Not significant"
"ENSMUSG00000110673",1.95072415664241,0.672532978740256,1.45438561958726,0.462417236311175,0.643782141168407,NA,"Not significant"
"ENSMUSG00000110679",6.9054482200307,0.487885467926569,0.888602439179776,0.54904808541479,0.582972450938473,NA,"Not significant"
"ENSMUSG00000110682",1.28125465710808,-0.00226622890303867,2.12922536532597,-0.0010643443103505,0.999150776267731,NA,"Not significant"
"ENSMUSG00000110683",15.0892130134719,-0.00181423409560062,0.560501556420114,-0.00323680474178878,0.997417407979789,NA,"Not significant"
"ENSMUSG00000110684",8.08666758739932,0.618149696674155,0.880968529555354,0.701670577252231,0.482884626070267,NA,"Not significant"
"ENSMUSG00000110686",9.63603609289401,-0.222936399343844,0.701076501494807,-0.31799154424447,0.750491350987758,NA,"Not significant"
"ENSMUSG00000110688",2.47917814797924,1.23717384897356,1.69997547346988,0.727759822586335,0.466760622951648,NA,"Not significant"
"ENSMUSG00000110690",2.15086717272248,0.955077548277339,1.47759466106407,0.646373172186175,0.51803771033295,NA,"Not significant"
"ENSMUSG00000110692",12.6064458282059,0.0832223675325416,0.598149069323128,0.139133155597345,0.889344928643616,NA,"Not significant"
"ENSMUSG00000110697",6.32879756684851,-0.268435794126047,0.863655887987879,-0.310813366596088,0.755942507564585,NA,"Not significant"
"ENSMUSG00000110698",50.2184707182717,-0.129330109340487,0.321563961442194,-0.402190931970268,0.687543515320443,NA,"Not significant"
"ENSMUSG00000110701",7.71495487019015,0.397190908636071,0.744068950585532,0.533809277115392,0.59347349462663,NA,"Not significant"
"ENSMUSG00000110706",5.85553996604846,0.454905640581555,0.846293097400414,0.537527296369194,0.590903435133401,NA,"Not significant"
"ENSMUSG00000110711",2.13525551794233,-0.69003865071644,1.53730678000193,-0.448862035667059,0.65353118417429,NA,"Not significant"
"ENSMUSG00000110712",3.62514963925791,-0.628462248626019,1.17201967719308,-0.53622158471874,0.591805417536829,NA,"Not significant"
"ENSMUSG00000110715",2.15925390893096,-2.58345487708611,1.89455059448811,-1.36362411465931,0.172685898486947,NA,"Not significant"
"ENSMUSG00000110716",11.9576602153505,-0.717234707762441,0.751384021881424,-0.954551450224513,0.339804578938606,NA,"Not significant"
"ENSMUSG00000110721",1.27206975586671,0.534015528630877,2.42369274498213,0.220331364087495,0.825613095272261,NA,"Not significant"
"ENSMUSG00000110722",1.22677032558217,0.252904787831862,1.89607858690465,0.13338307261026,0.893890431885113,NA,"Not significant"
"ENSMUSG00000110723",10.4282412265479,0.23140537143417,0.678983420792819,0.340811519615557,0.733245477712737,NA,"Not significant"
"ENSMUSG00000110726",40.3310309128755,0.049100147363448,0.35197737772497,0.139498020244398,0.889056620261007,NA,"Not significant"
"ENSMUSG00000110729",27.5559940449973,1.16377015281513,0.54425329038788,2.13828776668622,0.0324933948205263,NA,"Not significant"
"ENSMUSG00000110737",14.214806272469,-0.673332879344678,0.638355930452628,-1.0547922361546,0.291520356188323,NA,"Not significant"
"ENSMUSG00000110740",6.52048823369911,0.0789217942701051,0.871446812850104,0.0905640976664863,0.92783896057055,NA,"Not significant"
"ENSMUSG00000110741",1.43637398998259,-0.831786731045414,1.92290167928998,-0.432568518715187,0.665328264279919,NA,"Not significant"
"ENSMUSG00000110744",26.8227026019416,0.359900628141898,0.421120414017147,0.854626411264983,0.392758001368581,NA,"Not significant"
"ENSMUSG00000110747",17.9906528773242,0.374428614990999,0.573441529140726,0.652949945135753,0.513788548587133,NA,"Not significant"
"ENSMUSG00000110751",6.70644985811397,1.65583005645698,0.955004321433362,1.73384561650124,0.0829454793665928,NA,"Not significant"
"ENSMUSG00000110752",10.0904200321612,-0.101304871300623,0.729852910266568,-0.138801763856259,0.889606800123557,NA,"Not significant"
"ENSMUSG00000110754",4.729784111901,-0.42589469994869,0.984892170716994,-0.432427744489676,0.66543055701957,NA,"Not significant"
"ENSMUSG00000110765",3.49178055029461,1.0679757827437,1.09971604837255,0.971137762628981,0.331479681263372,NA,"Not significant"
"ENSMUSG00000110772",12.4576662394559,-0.275606311281929,0.611737319899975,-0.450530484762631,0.652327978125751,NA,"Not significant"
"ENSMUSG00000110773",21.3406592262369,-0.0177584178613703,0.571680045587194,-0.0310635608124646,0.975218849895284,NA,"Not significant"
"ENSMUSG00000110779",2.12794605559168,-0.0363990644699511,1.41619916534647,-0.0257019389367075,0.979495077321222,NA,"Not significant"
"ENSMUSG00000110790",2.4880777154279,-0.171045640565201,1.34856353853426,-0.126835433168473,0.899070650590827,NA,"Not significant"
"ENSMUSG00000110791",38.0161348829283,-0.337295096234021,0.370614798332988,-0.910096136881642,0.362771811709164,NA,"Not significant"
"ENSMUSG00000110795",3.26806257169418,-2.81828520468471,1.78580250320205,-1.57816175060308,0.114528454939865,NA,"Not significant"
"ENSMUSG00000110803",2.70420287044037,-0.503681162212511,1.28873954758416,-0.390832393680089,0.695921128921959,NA,"Not significant"
"ENSMUSG00000110814",1.32705873930518,-2.332307103206,2.24166263718057,-1.04043626570831,0.298137260207883,NA,"Not significant"
"ENSMUSG00000110816",11.2931612148641,-1.01208548039063,0.658873664919186,-1.53608428182475,0.124517710784623,NA,"Not significant"
"ENSMUSG00000110832",8.39170712313514,0.489853848259026,0.968051462288241,0.506020462074536,0.612842285184023,NA,"Not significant"
"ENSMUSG00000110836",1.53298217132352,0.58375727964699,1.70066336179506,0.343252693484754,0.731408366279768,NA,"Not significant"
"ENSMUSG00000110862",25.3822440592482,-0.300159346935422,0.439645414715948,-0.682730529850638,0.494777134396458,NA,"Not significant"
"ENSMUSG00000110863",33.3320524737189,-0.234639443078211,0.380069218737449,-0.617359763723196,0.536997455271091,NA,"Not significant"
"ENSMUSG00000110867",1.55324629193081,-0.18967227221943,1.74064735111567,-0.108966513003257,0.913229050889716,NA,"Not significant"
"ENSMUSG00000110873",1.22787325270571,-1.76272562468129,2.35380150315561,-0.748884569203519,0.453926781627518,NA,"Not significant"
"ENSMUSG00000110874",3.3115104395668,-1.1194366383872,1.33444619910764,-0.838877310404705,0.401538161458571,NA,"Not significant"
"ENSMUSG00000110895",8.83683468381752,0.0866135724140836,0.709176511455222,0.122132601707794,0.902794002712755,NA,"Not significant"
"ENSMUSG00000110901",8.52972656336407,-0.247141536293808,0.794496221924393,-0.311066974862627,0.755749706757394,NA,"Not significant"
"ENSMUSG00000110903",2.60048401243327,1.64555015451061,1.41647711278973,1.1617202562982,0.245349114870441,NA,"Not significant"
